City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Sao Felix Do Xingu,BR,75.79,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
363,Lorengau,PG,79.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
365,Puerto Madryn,AR,70.07,clear sky,-42.7692,-65.0385,Hotel Tolosa
368,Lubango,AO,75.06,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
373,Lakes Entrance,AU,60.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
374,San Patricio,US,64.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
376,Sinnamary,GF,79.36,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
378,Nkowakowa,ZA,78.85,clear sky,-23.8878,30.2871,Moytel 966A Guest House & Spa
380,Necochea,AR,66.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
384,Mildura,AU,66.16,clear sky,-34.2,142.15,Mercure Hotel Mildura
385,Yabelo,ET,76.28,overcast clouds,4.8833,38.0833,Asnakech W/michael
390,Faya,SA,60.91,few clouds,18.3851,42.4509,املاك خالد الشعشوع
394,Lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
395,Knysna,ZA,75.58,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
397,Bintulu,MY,73.81,scattered clouds,3.1667,113.0333,900 Boutique INN
404,Port Pirie,AU,66.29,clear sky,-33.1833,138.0167,John Pirie Motor Inn
405,Metro,ID,75.56,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
406,Mackay,AU,73.38,broken clouds,-21.15,149.2,International Lodge Motel
409,Mecca,SA,70.47,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
412,Sambava,MG,78.28,light rain,-14.2667,50.1667,Melrose
418,Kieta,PG,77.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
427,Manokwari,ID,77.34,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
430,Half Moon Bay,US,65.48,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
431,Ahipara,NZ,74.28,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
433,Poso,ID,76.44,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
434,Eyl,SO,75.63,clear sky,7.9803,49.8164,Amiin Hotel
440,Nacala,MZ,76.62,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
442,Agua Dulce,MX,65.98,overcast clouds,18.1333,-94.1333,Hotel Victoria
446,Byron Bay,AU,72.88,broken clouds,-28.65,153.6167,Backpackers Inn
449,San Quintin,MX,66.85,clear sky,30.4833,-115.95,Don Eddie's Landing
450,Olivenza,ES,71.31,clear sky,38.6832,-7.103,Hotel Heredero
452,Dubai,AE,77.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
